Case Type,Filing Date,Registration Date,CNR Number,First Hearing Date,Decision Date,Case Status,Nature of Disposal,Under Act,Under Section
155,26/03/2023,12/30/2023,MHPU010074592023,29/01/2023,11/10/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,Motor Vehicles (Driving) Regulations- 2017,140
156,30/10/2023,10/7/2023,MHPU010101462023,05/01/2024,11/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,151 dar
157,21/10/2023,9/15/2023,MHPU010086342023,12/05/2023,14/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,40
158,18/02/2023,7/24/2023,MHPU010086342023,07/05/2024,12/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,166
159,09/11/2023,3/21/2023,MHPU010000532023,13/01/2023,30/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,166
160,21/03/2023,2/9/2023,MHPU010135842023,04/02/2023,23/09/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,MOTOR VEHICLES ACT,o21
161,26/01/2023,8/13/2023,MHPU010176002023,18/01/2024,27/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,40
162,02/10/2023,5/13/2023,MHPU010086342023,04/07/2024,20/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,151 dar
163,03/01/2023,12/21/2023,MHPU010258492022,06/03/2024,09/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,140
164,26/08/2023,8/11/2023,MHPU010258492022,08/03/2024,22/09/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,140
165,30/11/2023,5/29/2023,MHPU010000532023,13/02/2023,15/12/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CIVIL PROCEDURE,o21
166,04/04/2023,12/13/2023,MHPU010074592023,10/02/2023,24/12/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,MOTOR VEHICLES ACT,o21
167,07/04/2023,3/1/2023,MHPU010258492022,03/02/2024,10/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,Motor Vehicles (Driving) Regulations- 2017,o21
168,28/09/2023,6/24/2023,MHPU010101462023,07/07/2024,12/10/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,o21
169,13/01/2023,4/3/2023,MHPU010043232023,23/08/2024,01/12/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CIVIL PROCEDURE,o21
170,12/12/2023,11/13/2023,MHPU010074592023,15/05/2024,13/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CIVIL PROCEDURE,140
171,04/11/2023,5/3/2023,MHPU010258492022,18/05/2023,15/12/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,MOTOR VEHICLES ACT,151 dar
172,03/02/2023,11/8/2023,MHPU010000532023,25/06/2023,31/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CIVIL PROCEDURE,140
173,14/12/2023,2/22/2023,MHPU010258492022,20/01/2024,30/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,151 dar
174,12/01/2023,6/23/2023,MHPU010064392023,31/01/2024,12/11/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,140
175,26/08/2023,9/9/2023,MHPU010000532023,30/06/2024,19/09/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,o21
176,26/09/2023,7/14/2023,MHPU010258492022,14/06/2024,06/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,140
177,17/05/2023,10/11/2023,MHPU010063022023,23/01/2024,16/12/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,151 dar
178,01/02/2023,4/22/2023,MHPU010258492022,23/06/2023,09/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,40
179,25/08/2023,7/7/2023,MHPU010064392023,21/07/2024,28/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,140
180,24/08/2023,12/30/2023,MHPU010043232023,19/02/2023,20/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,166
181,04/07/2023,10/21/2023,MHPU010086342023,21/04/2023,09/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,166
182,10/05/2023,6/20/2023,MHPU010086342023,07/10/2023,08/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,40
183,08/04/2023,2/28/2023,MHPU010063022023,10/07/2023,19/11/2023,Case disposed,Uncontested--LOKADALAT,Motor Vehicles (Driving) Regulations- 2017,166
184,17/10/2023,8/22/2023,MHPU010064392023,08/10/2023,09/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,Motor Vehicles (Driving) Regulations- 2017,151 dar
185,11/06/2023,7/22/2023,MHPU010063022023,08/06/2024,26/10/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,140
186,27/03/2023,9/3/2023,MHPU010101462023,28/04/2023,01/12/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,151 dar
187,31/08/2023,1/6/2023,MHPU010060312023,12/01/2023,06/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,166
188,27/08/2023,11/23/2023,MHPU010135842023,20/06/2024,29/09/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,140
189,25/11/2023,10/2/2023,MHPU010112742023,08/01/2023,16/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,40
190,08/01/2023,4/30/2023,MHPU010155972023,23/12/2023,10/12/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,MOTOR VEHICLES ACT,151 dar
191,06/09/2023,5/5/2023,MHPU010060312023,24/08/2024,25/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,40
192,13/11/2023,7/6/2023,MHPU010063022023,02/02/2024,15/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,140
193,29/04/2023,6/1/2023,MHPU010258492022,04/07/2023,25/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,166
194,13/04/2023,3/8/2023,MHPU010176002023,04/11/2023,24/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,40
195,23/01/2023,7/11/2023,MHPU010176002023,10/02/2024,08/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,140
196,28/04/2023,3/9/2023,MHPU010043232023,22/01/2023,14/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,166
197,02/06/2023,6/18/2023,MHPU010074592023,11/01/2024,26/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,40
198,04/04/2023,12/30/2023,MHPU010170062023,23/07/2024,29/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,140
199,06/11/2023,12/21/2023,MHPU010176002023,06/06/2024,08/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,140
200,28/08/2023,8/30/2023,MHPU010000532023,16/08/2024,06/12/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,151 dar
201,19/02/2023,11/11/2023,MHPU010060312023,05/09/2024,28/11/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CIVIL PROCEDURE,140
202,31/05/2023,3/10/2023,MHPU010086342023,20/08/2024,23/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,40
203,18/12/2023,2/23/2023,MHPU010155972023,13/06/2023,05/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,Motor Vehicles (Driving) Regulations- 2017,151 dar
204,26/04/2023,9/18/2023,MHPU010258492022,15/03/2024,03/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,140
205,14/03/2023,12/26/2023,MHPU010112742023,22/05/2023,28/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,140
206,04/11/2023,9/15/2023,MHPU010043232023,08/06/2024,31/10/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,MOTOR VEHICLES ACT,40
207,21/07/2023,10/23/2023,MHPU010086342023,05/06/2024,25/10/2023,Case disposed,Uncontested--LOKADALAT,Motor Vehicles (Driving) Regulations- 2017,140
208,13/09/2023,7/14/2023,MHPU010112742023,18/02/2024,16/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,o21
209,12/03/2023,11/12/2023,MHPU010063022023,13/04/2024,13/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,40
210,09/03/2023,12/23/2023,MHPU010258492022,01/11/2023,10/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,40
211,08/11/2023,7/28/2023,MHPU010000532023,12/07/2023,01/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,166
212,05/07/2023,6/16/2023,MHPU010135842023,31/07/2024,19/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,Motor Vehicles (Driving) Regulations- 2017,140
213,12/01/2023,11/28/2023,MHPU010086342023,15/06/2023,01/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,o21
214,11/03/2023,7/14/2023,MHPU010086342023,27/01/2023,10/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,MOTOR VEHICLES ACT,40
215,03/10/2023,8/30/2023,MHPU010101462023,06/10/2023,13/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CIVIL PROCEDURE,o21
216,09/08/2023,10/23/2023,MHPU010155972023,29/06/2023,17/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,MOTOR VEHICLES ACT,o21
217,22/05/2023,5/26/2023,MHPU010176002023,20/01/2024,19/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,o21
218,23/05/2023,3/18/2023,MHPU010043232023,31/07/2023,14/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,166
219,28/04/2023,4/9/2023,MHPU010176002023,30/11/2023,15/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,o21
220,22/09/2023,2/14/2023,MHPU010064392023,13/05/2023,06/10/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,40
221,18/11/2023,11/14/2023,MHPU010086342023,13/03/2024,02/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,40
222,26/01/2023,3/4/2023,MHPU010176002023,19/02/2023,11/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CIVIL PROCEDURE,166
223,16/01/2023,3/16/2023,MHPU010060312023,22/11/2023,20/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CIVIL PROCEDURE,151 dar
224,06/04/2023,3/12/2023,MHPU010086342023,20/03/2024,16/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,40
225,18/07/2023,2/12/2023,MHPU010135842023,02/09/2024,17/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,o21
226,27/01/2023,5/1/2023,MHPU010074592023,26/05/2024,12/12/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,40
227,06/06/2023,1/25/2023,MHPU010112742023,01/03/2024,29/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CIVIL PROCEDURE,o21
228,29/06/2023,1/12/2023,MHPU010043232023,29/06/2023,19/09/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,151 dar
229,07/09/2023,12/3/2023,MHPU010086342023,04/04/2024,16/12/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,151 dar
230,01/10/2023,7/14/2023,MHPU010000532023,02/05/2023,02/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,MOTOR VEHICLES ACT,40
231,04/12/2023,2/19/2023,MHPU010170062023,14/04/2024,05/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,166
232,05/06/2023,9/1/2023,MHPU010135842023,07/03/2023,06/10/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CIVIL PROCEDURE,140
233,12/09/2023,10/3/2023,MHPU010086342023,05/07/2023,27/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,166
234,30/07/2023,4/4/2023,MHPU010170062023,29/10/2023,18/11/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CIVIL PROCEDURE,151 dar
235,12/05/2023,1/13/2023,MHPU010086342023,12/08/2024,10/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,MOTOR VEHICLES ACT,o21
236,04/10/2023,9/28/2023,MHPU010170062023,09/10/2023,30/09/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,166
237,12/04/2023,9/15/2023,MHPU010170062023,09/09/2023,28/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,40
238,29/11/2023,9/6/2023,MHPU010000532023,01/05/2024,26/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,o21
239,03/09/2023,2/24/2023,MHPU010176002023,02/11/2023,29/10/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,166
240,22/09/2023,6/19/2023,MHPU010101462023,27/07/2023,01/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,o21
241,30/10/2023,3/17/2023,MHPU010155972023,02/04/2023,06/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,140
242,28/07/2023,9/2/2023,MHPU010170062023,17/06/2023,25/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CIVIL PROCEDURE,166
243,07/11/2023,6/27/2023,MHPU010101462023,03/04/2024,18/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,151 dar
244,15/05/2023,4/30/2023,MHPU010258492022,29/03/2024,26/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,166
245,02/08/2023,2/5/2023,MHPU010155972023,25/12/2023,15/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,40
246,17/07/2023,6/10/2023,MHPU010176002023,15/08/2023,28/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,o21
247,16/01/2023,7/5/2023,MHPU010135842023,01/06/2024,21/10/2023,Case disposed,Uncontested--LOKADALAT,MOTOR VEHICLES ACT,o21
248,20/05/2023,2/26/2023,MHPU010258492022,12/07/2023,13/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,140
249,07/08/2023,10/3/2023,MHPU010155972023,23/05/2024,12/12/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,166
250,09/12/2023,10/8/2023,MHPU010176002023,30/12/2023,26/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,140
251,14/04/2023,8/3/2023,MHPU010000532023,11/08/2023,30/12/2023,Case disposed,Uncontested--LOKADALAT,MOTOR VEHICLES ACT,166
252,14/10/2023,1/31/2023,MHPU010112742023,09/08/2023,23/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CIVIL PROCEDURE,o21
253,03/04/2023,6/16/2023,MHPU010000532023,09/05/2024,23/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,o21
254,21/01/2023,5/12/2023,MHPU010155972023,14/10/2023,26/12/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,o21
255,30/08/2023,9/19/2023,MHPU010170062023,12/07/2023,27/12/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CIVIL PROCEDURE,o21
256,09/01/2023,10/31/2023,MHPU010112742023,22/05/2024,23/11/2023,Case disposed,Uncontested--LOKADALAT,MOTOR VEHICLES ACT,140
257,05/01/2023,3/18/2023,MHPU010000532023,02/01/2023,16/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,140
258,29/12/2023,12/24/2023,MHPU010170062023,25/06/2023,28/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,40
259,16/02/2023,11/16/2023,MHPU010000532023,27/09/2023,17/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,151 dar
260,09/05/2023,6/18/2023,MHPU010112742023,01/05/2023,18/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,166
261,17/03/2023,8/30/2023,MHPU010170062023,12/06/2023,27/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,151 dar
262,09/06/2023,6/23/2023,MHPU010063022023,27/07/2024,23/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,MOTOR VEHICLES ACT,140
263,10/05/2023,1/13/2023,MHPU010060312023,16/01/2024,10/12/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CIVIL PROCEDURE,140
264,22/10/2023,10/6/2023,MHPU010112742023,23/07/2023,07/11/2023,Case disposed,Uncontested--LOKADALAT,MOTOR VEHICLES ACT,o21
265,30/03/2023,3/10/2023,MHPU010176002023,10/11/2023,05/10/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,40
266,02/02/2023,11/10/2023,MHPU010258492022,10/01/2023,21/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,40
267,25/03/2023,3/4/2023,MHPU010258492022,20/05/2023,27/10/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,140
268,03/07/2023,7/1/2023,MHPU010155972023,09/01/2024,18/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,o21
269,22/03/2023,4/30/2023,MHPU010112742023,17/01/2023,25/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,40
270,23/03/2023,7/29/2023,MHPU010170062023,26/07/2023,05/12/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,140
271,10/09/2023,12/27/2023,MHPU010060312023,30/12/2023,03/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,166
272,19/08/2023,8/7/2023,MHPU010170062023,14/05/2023,09/12/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,40
273,29/08/2023,5/19/2023,MHPU010063022023,29/11/2023,21/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,o21
274,11/09/2023,5/15/2023,MHPU010176002023,22/07/2024,10/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,166
275,23/01/2023,9/11/2023,MHPU010043232023,19/03/2024,07/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,166
276,23/05/2023,9/2/2023,MHPU010000532023,21/08/2023,18/09/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,o21
277,23/10/2023,5/22/2023,MHPU010170062023,01/05/2023,19/09/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,151 dar
278,04/06/2023,10/16/2023,MHPU010063022023,08/05/2024,03/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,MOTOR VEHICLES ACT,40
279,29/08/2023,10/26/2023,MHPU010155972023,10/06/2024,07/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,140
280,04/06/2023,10/9/2023,MHPU010074592023,06/02/2023,15/10/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,o21
281,27/06/2023,3/10/2023,MHPU010101462023,30/09/2023,12/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,MOTOR VEHICLES ACT,151 dar
282,15/07/2023,11/29/2023,MHPU010170062023,16/07/2023,20/10/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,Motor Vehicles (Driving) Regulations- 2017,151 dar
283,29/05/2023,6/30/2023,MHPU010060312023,02/03/2024,20/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,o21
284,22/02/2023,5/29/2023,MHPU010060312023,02/01/2024,10/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,o21
285,04/05/2023,10/6/2023,MHPU010170062023,24/08/2024,09/12/2023,Case disposed,Uncontested--LOKADALAT,MOTOR VEHICLES ACT,40
286,17/10/2023,2/19/2023,MHPU010000532023,17/04/2023,05/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,166
287,26/12/2023,9/20/2023,MHPU010176002023,27/05/2024,07/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,o21
288,17/11/2023,5/23/2023,MHPU010074592023,11/07/2023,11/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,Motor Vehicles (Driving) Regulations- 2017,151 dar
289,20/11/2023,7/12/2023,MHPU010176002023,19/10/2023,04/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,40
290,11/08/2023,10/30/2023,MHPU010000532023,28/07/2023,26/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,MOTOR VEHICLES ACT,166
291,12/03/2023,8/3/2023,MHPU010000532023,27/04/2024,12/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,151 dar
292,13/12/2023,12/2/2023,MHPU010258492022,25/01/2023,18/11/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,o21
293,01/03/2023,6/20/2023,MHPU010176002023,24/05/2023,12/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,151 dar
294,17/02/2023,10/18/2023,MHPU010086342023,03/02/2024,18/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,40
295,14/10/2023,1/13/2023,MHPU010170062023,09/03/2023,20/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,MOTOR VEHICLES ACT,151 dar
296,05/11/2023,8/15/2023,MHPU010112742023,30/01/2023,07/10/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,140
297,15/12/2023,1/21/2023,MHPU010063022023,20/05/2023,05/12/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,40
298,25/07/2023,1/30/2023,MHPU010258492022,20/12/2023,02/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,166
299,09/06/2023,1/4/2023,MHPU010176002023,30/01/2024,25/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,o21
300,24/06/2023,3/16/2023,MHPU010135842023,26/04/2024,07/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,166
301,22/03/2023,6/6/2023,MHPU010155972023,19/05/2024,03/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,140
302,26/09/2023,11/2/2023,MHPU010000532023,12/05/2023,02/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CIVIL PROCEDURE,o21
303,07/10/2023,1/19/2023,MHPU010074592023,06/07/2023,18/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,140
304,15/01/2023,12/1/2023,MHPU010086342023,17/03/2024,26/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,o21
305,14/04/2023,8/1/2023,MHPU010170062023,07/12/2023,10/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,40
306,11/12/2023,10/20/2023,MHPU010101462023,29/03/2023,24/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,151 dar
307,24/07/2023,7/24/2023,MHPU010064392023,19/07/2024,24/10/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CIVIL PROCEDURE,140
308,30/06/2023,3/20/2023,MHPU010135842023,20/07/2024,18/09/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,40
